"HOUSING_MODEL$coefficients" "NAME"
"CITYChomedey" 129204.76032443 "CITYChomedey"
"CITYChute-aux-Outardes" -235195.825063542 "CITYChute-aux-Outardes"
"CITYChute-St-Philippe" -102099.968206244 "CITYChute-St-Philippe"
"CITYClarenceville" 87659.5490772081 "CITYClarenceville"
"CITYClarke City" -132371.624878217 "CITYClarke City"
"CITYClermont" -98600.8576026623 "CITYClermont"
"CITYCleveland" -2099.85897344377 "CITYCleveland"
"CITYCloridorme" -191286.990229468 "CITYCloridorme"
"CITYCoaticook" -74158.8032603984 "CITYCoaticook"
"CITYColombier" -155247.196844197 "CITYColombier"
"CITYCompton" -42043.4496082416 "CITYCompton"
"CITYContrecoeur" -14515.7370294768 "CITYContrecoeur"
"CITYCookshire-Eaton" -63347.3062966929 "CITYCookshire-Eaton"
"CITYCôte-des-Neiges / Notre-Dame-de-Grâce" 433598.469562779 "CITYCôte-des-Neiges / Notre-Dame-de-Grâce"
"CITYCôte-St-Luc / Hampstead / Montréal-Ouest" 348924.522474988 "CITYCôte-St-Luc / Hampstead / Montréal-Ouest"
"CITYCoteau-Du-Lac" 38553.1935549211 "CITYCoteau-Du-Lac"
"CITYCoteau-Station" 18274.7755747974 "CITYCoteau-Station"
"CITYCourcelles" -149874.868969154 "CITYCourcelles"
"CITYCowansville" -30246.8396237738 "CITYCowansville"
"CITYCrabtree" -57061.8214376077 "CITYCrabtree"
"CITYDanville" -66546.9360892125 "CITYDanville"
"CITYDaveluyville" -53777.9248344376 "CITYDaveluyville"
"CITYDegelis" -117597.821224799 "CITYDegelis"
"CITYDéléage" -36910.6565558161 "CITYDéléage"
"CITYDelson" 50858.4757153719 "CITYDelson"
"CITYDenholm" -57775.3584869176 "CITYDenholm"
"CITYDesbiens" -109943.655930904 "CITYDesbiens"
"CITYDeschaillons" -54187.2507522817 "CITYDeschaillons"
"CITYDeschambault-Grondines (Deschambault)" -37477.8918354689 "CITYDeschambault-Grondines (Deschambault)"
"CITYDeschambault-Grondines (Grondines)" 2908.64703506792 "CITYDeschambault-Grondines (Grondines)"
"CITYDeux-Montagnes" 30016.0476650249 "CITYDeux-Montagnes"
"CITYDisraeli" -41691.6788118294 "CITYDisraeli"
"CITYDixville" -139960.206057958 "CITYDixville"
"CITYDolbeau-Mistassini" -100020.57147761 "CITYDolbeau-Mistassini"
"CITYDollard-Des-Ormeaux" 133097.606134321 "CITYDollard-Des-Ormeaux"
"CITYDonnacona" -46204.1095164933 "CITYDonnacona"
"CITYDorval / L'Île Dorval" 157682.946709428 "CITYDorval / L'Île Dorval"
"CITYDosquet" -88027.1334593198 "CITYDosquet"
"CITYDrummondville" -41642.5926841665 "CITYDrummondville"
"CITYDrummondville (Drummondville)" -51370.6095051821 "CITYDrummondville (Drummondville)"
"CITYDrummondville (St-Charles-De-Drummond)" -16021.4328391352 "CITYDrummondville (St-Charles-De-Drummond)"
"CITYDrummondville (St-Joachim-De-Courval)" -40558.2978626162 "CITYDrummondville (St-Joachim-De-Courval)"
"CITYDrummondville (St-Nicéphore)" -54662.5352589509 "CITYDrummondville (St-Nicéphore)"
"CITYDuberger" 34119.4367676268 "CITYDuberger"
"CITYDudswell" -69047.0464799337 "CITYDudswell"
"CITYDudswell (Bishopton)" -40080.7975415241 "CITYDudswell (Bishopton)"
"CITYDudswell (Marbleton)" -40401.1612452086 "CITYDudswell (Marbleton)"
"CITYDuhamel" -40730.5149099522 "CITYDuhamel"
"CITYDunham" 9626.72772694247 "CITYDunham"
"CITYDuparquet" -215421.757532382 "CITYDuparquet"
"CITYDupuy" -135380.48901706 "CITYDupuy"
"CITYDurham-Sud" -110841.866444368 "CITYDurham-Sud"
"CITYDuvernay" 142886.235098677 "CITYDuvernay"
"CITYDuvernay-Est" 75173.6093883165 "CITYDuvernay-Est"
"CITYEast Angus" -84902.6556132645 "CITYEast Angus"
"CITYEast Broughton" -197627.102442254 "CITYEast Broughton"
"CITYEast Farnham" -21818.636880297 "CITYEast Farnham"
"CITYEastman" 56259.2064668226 "CITYEastman"
"CITYEaton" 404502.960040129 "CITYEaton"
"CITYEgan-Sud" -118529.978724489 "CITYEgan-Sud"
"CITYElgin" -57427.6220024087 "CITYElgin"
"CITYEntrelacs" 12587.1067565432 "CITYEntrelacs"
"CITYEscuminac" -21500.8049389621 "CITYEscuminac"
"CITYEscuminac (Pointe-à-la-Garde)" -103048.438067042 "CITYEscuminac (Pointe-à-la-Garde)"
"CITYEsprit-Saint" -249256.454900753 "CITYEsprit-Saint"
"CITYFabreville" 81853.3429431442 "CITYFabreville"
"CITYFarnham" -33030.0632594492 "CITYFarnham"
"CITYFassett" -50136.5618335321 "CITYFassett"
"CITYFerland-Et-Boilleau" -83322.4749489667 "CITYFerland-Et-Boilleau"
"CITYFerme-Neuve" -81312.2067375379 "CITYFerme-Neuve"
"CITYForestville" -211425.554757526 "CITYForestville"
"CITYFort-Coulonge" -67951.8295684518 "CITYFort-Coulonge"
"CITYFortierville" -134050.724693501 "CITYFortierville"
"CITYFossambault-Sur-Le-Lac" -22600.8505988277 "CITYFossambault-Sur-Le-Lac"
