"HOUSING_MODEL$coefficients" "NAME"
"CITYLac-Ste-Marie" -1264.11752522073 "CITYLac-Ste-Marie"
"CITYLac-Superieur" -17346.6247083764 "CITYLac-Superieur"
"CITYLachine" 213926.073700229 "CITYLachine"
"CITYLachute" -43199.6607857446 "CITYLachute"
"CITYLacolle" -38168.3019428709 "CITYLacolle"
"CITYLacorne" -45683.8416264198 "CITYLacorne"
"CITYLadysmith" -27104.9170633873 "CITYLadysmith"
"CITYLamarche" -151934.538280753 "CITYLamarche"
"CITYLambton" -115917.77896565 "CITYLambton"
"CITYLandrienne" -43791.719152779 "CITYLandrienne"
"CITYLanoraie" 25263.9547290587 "CITYLanoraie"
"CITYLanoraie-D'Autray" -20343.8178870802 "CITYLanoraie-D'Autray"
"CITYLantier" 13814.9351293149 "CITYLantier"
"CITYLarouche" -112459.894468565 "CITYLarouche"
"CITYLaSalle" 202293.816766589 "CITYLaSalle"
"CITYLaurier-Station" -85886.772263264 "CITYLaurier-Station"
"CITYLaurierville" -202539.450111369 "CITYLaurierville"
"CITYLaval-des-Rapides" 128934.776719089 "CITYLaval-des-Rapides"
"CITYLaval-Ouest" 47498.9234965151 "CITYLaval-Ouest"
"CITYLaval-sur-le-Lac" 322267.361127583 "CITYLaval-sur-le-Lac"
"CITYLavaltrie" -19223.8013203052 "CITYLavaltrie"
"CITYLaverlochère-Angliers" -176657.604520965 "CITYLaverlochère-Angliers"
"CITYLawrenceville" -22406.0170856991 "CITYLawrenceville"
"CITYLe Plateau-Mont-Royal" 542325.666771457 "CITYLe Plateau-Mont-Royal"
"CITYLe Sud-Ouest" 322560.427477799 "CITYLe Sud-Ouest"
"CITYLebel-Sur-Quevillon" -143878.897092165 "CITYLebel-Sur-Quevillon"
"CITYLebourgneuf" 57982.162068242 "CITYLebourgneuf"
"CITYLeclercville" -48626.5372861306 "CITYLeclercville"
"CITYLefebvre" -142755.025091117 "CITYLefebvre"
"CITYLejeune" -255140.975838674 "CITYLejeune"
"CITYLemieux" -131534.267961481 "CITYLemieux"
"CITYLery" 25734.2659967997 "CITYLery"
"CITYLes Buissons" -137301.404841195 "CITYLes Buissons"
"CITYLes Cèdres" 28619.4071750144 "CITYLes Cèdres"
"CITYLes Côteaux" 2919.6141301942 "CITYLes Côteaux"
"CITYLes Éboulements" -8900.10152496616 "CITYLes Éboulements"
"CITYLes Escoumins" -97790.7993866687 "CITYLes Escoumins"
"CITYLes Méchins" -164994.845061327 "CITYLes Méchins"
"CITYLes Saules" 28450.4793430457 "CITYLes Saules"
"CITYLévis" 14712.2008937986 "CITYLévis"
"CITYLimoilou" 68500.7444136212 "CITYLimoilou"
"CITYLingwick" -103092.917859092 "CITYLingwick"
"CITYLitchfield" -168969.034392604 "CITYLitchfield"
"CITYLochaber-Partie-Ouest" -25221.0081443687 "CITYLochaber-Partie-Ouest"
"CITYLongue-Rive" -151744.52608792 "CITYLongue-Rive"
"CITYLongueuil" 90976.4190233805 "CITYLongueuil"
"CITYLongueuil (Greenfield Park)" 121981.245600932 "CITYLongueuil (Greenfield Park)"
"CITYLongueuil (LeMoyne)" 70651.2430365202 "CITYLongueuil (LeMoyne)"
"CITYLongueuil (St-Hubert)" 87254.5334129695 "CITYLongueuil (St-Hubert)"
"CITYLongueuil (Vieux-Longueuil)" 125961.261136329 "CITYLongueuil (Vieux-Longueuil)"
"CITYLoretteville" 17239.5334430947 "CITYLoretteville"
"CITYLorraine" 76984.3416575813 "CITYLorraine"
"CITYLotbinière" -51104.0259708408 "CITYLotbinière"
"CITYLots-Renversés" -241775.514083036 "CITYLots-Renversés"
"CITYLouiseville" -99585.1707301817 "CITYLouiseville"
"CITYLow" -77074.5484736126 "CITYLow"
"CITYLuskville" 27866.4067534542 "CITYLuskville"
"CITYLyster" -128318.794237522 "CITYLyster"
"CITYMacamic" -124355.536743825 "CITYMacamic"
"CITYMaddington" 16257.5674392905 "CITYMaddington"
"CITYMagog" -2916.36165272649 "CITYMagog"
"CITYMalartic" -91183.5864121013 "CITYMalartic"
"CITYMandeville" -48559.7813587247 "CITYMandeville"
"CITYManiwaki" -91783.0873416103 "CITYManiwaki"
"CITYManseau" -114629.708989842 "CITYManseau"
"CITYMansfield-Et-Pontefract" -51881.213884229 "CITYMansfield-Et-Pontefract"
"CITYMaria" -100069.946529507 "CITYMaria"
"CITYMaricourt" -93592.8349650691 "CITYMaricourt"
"CITYMarieville" 15961.3367825618 "CITYMarieville"
"CITYMarston" -85316.8060631231 "CITYMarston"
"CITYMartinville" -182254.257568768 "CITYMartinville"
"CITYMascouche" 42446.2213022891 "CITYMascouche"
"CITYMaskinonge" -106867.77942371 "CITYMaskinonge"
"CITYMassueville" -56291.6610613461 "CITYMassueville"
"CITYMatagami" -122639.945599661 "CITYMatagami"
"CITYMatane" -120230.848225104 "CITYMatane"
"CITYMayo" -45852.4298985256 "CITYMayo"
"CITYMcMasterville" 47935.9929374547 "CITYMcMasterville"
"CITYMelbourne" -3160.76577094802 "CITYMelbourne"
"CITYMercier" 33781.0087122568 "CITYMercier"
"CITYMercier / Hochelaga / Maisonneuve" 207566.651081851 "CITYMercier / Hochelaga / Maisonneuve"
"CITYMessines" -17210.932659568 "CITYMessines"
"CITYMétabetchouan-Lac-à-la-Croix" -100077.771878857 "CITYMétabetchouan-Lac-à-la-Croix"
"CITYMétis-Sur-Mer" -91523.6804967858 "CITYMétis-Sur-Mer"
"CITYMilan" -105362.589283893 "CITYMilan"
"CITYMille-Isles" 17558.4190440426 "CITYMille-Isles"
"CITYMirabel" 19481.2667843372 "CITYMirabel"
"CITYMirabel (Domaine-Vert Nord)" 84158.3592168569 "CITYMirabel (Domaine-Vert Nord)"
"CITYMirabel (Domaine-Vert Sud)" 93262.2265269545 "CITYMirabel (Domaine-Vert Sud)"
"CITYMirabel (Mirabel en Haut)" 79972.6741722146 "CITYMirabel (Mirabel en Haut)"
"CITYMirabel (Petit-St-Charles)" 28891.9376670193 "CITYMirabel (Petit-St-Charles)"
"CITYMirabel (St-Antoine)" 23311.1736055796 "CITYMirabel (St-Antoine)"
"CITYMirabel (St-Augustin)" 39900.8840824818 "CITYMirabel (St-Augustin)"
"CITYMirabel (St-Benoit)" 16822.271573926 "CITYMirabel (St-Benoit)"
"CITYMirabel (St-Canut)" 1002.43889047412 "CITYMirabel (St-Canut)"
"CITYMirabel (St-Janvier)" 62241.6277769577 "CITYMirabel (St-Janvier)"
"CITYMirabel (Ste-Scholastique)" 26530.745092177 "CITYMirabel (Ste-Scholastique)"
"CITYMoisie" -128690.66330697 "CITYMoisie"
"CITYMont-Blanc (St-Faustin-Lac-Carré)" -26737.1762222003 "CITYMont-Blanc (St-Faustin-Lac-Carré)"
"CITYMont-Carmel" -98380.5219821842 "CITYMont-Carmel"
"CITYMont-Joli" -105954.759109033 "CITYMont-Joli"
"CITYMont-Laurier" -62551.3903716482 "CITYMont-Laurier"
"CITYMont-Louis" -71205.1900785519 "CITYMont-Louis"
"CITYMont-Royal" 533094.860810555 "CITYMont-Royal"
"CITYMont-St-Gregoire" 47999.9879868933 "CITYMont-St-Gregoire"
"CITYMont-St-Hilaire" 110142.807579725 "CITYMont-St-Hilaire"
"CITYMont-St-Michel" -130515.902575953 "CITYMont-St-Michel"
"CITYMont-St-Pierre" -126361.025209954 "CITYMont-St-Pierre"
"CITYMont-Tremblant" 21678.6078702156 "CITYMont-Tremblant"
"CITYMont-Tremblant (St-Jovite)" 22478.6196437459 "CITYMont-Tremblant (St-Jovite)"
"CITYMontcalm" 220475.596368184 "CITYMontcalm"
"CITYMontcerf" -85578.102518396 "CITYMontcerf"
"CITYMontchatel" 40810.1542579853 "CITYMontchatel"
"CITYMontebello" -44255.2241746349 "CITYMontebello"
"CITYMontmagny" -73474.5810326995 "CITYMontmagny"
"CITYMontpellier" -87578.1461965065 "CITYMontpellier"
"CITYMontréal-Nord" 105409.546168875 "CITYMontréal-Nord"
"CITYMorin-Heights" 44703.5357659472 "CITYMorin-Heights"
"CITYMulgrave-Et-Derry" -784.027494632335 "CITYMulgrave-Et-Derry"
"CITYMurdochville" -221675.562184029 "CITYMurdochville"
"CITYNamur" -127064.382028104 "CITYNamur"
"CITYNantes" -145520.757332723 "CITYNantes"
"CITYNapierville" 4742.10030160319 "CITYNapierville"
"CITYNatashquan" -202240.113319797 "CITYNatashquan"
"CITYND-De-Bonsecours" 140649.012751603 "CITYND-De-Bonsecours"
"CITYND-De-L'Ile-Perrot" 71069.9319532839 "CITYND-De-L'Ile-Perrot"
"CITYND-De-La-Merci" -23707.3609306572 "CITYND-De-La-Merci"
"CITYND-De-La-Paix" -80966.18306579 "CITYND-De-La-Paix"
"CITYND-De-La-Salette" -87155.81902194 "CITYND-De-La-Salette"
"CITYND-de-Lourdes" -117573.104769931 "CITYND-de-Lourdes"
"CITYND-De-Lourdes" -61282.7740533717 "CITYND-De-Lourdes"
"CITYND-De-Montauban" -117434.98136508 "CITYND-De-Montauban"
"CITYND-De-Stanbridge" -12926.3054964275 "CITYND-De-Stanbridge"
"CITYND-Des-Neiges" -143161.651495009 "CITYND-Des-Neiges"
"CITYND-Des-Prairies" -26701.4869611329 "CITYND-Des-Prairies"
"CITYND-Des-Sept-Douleurs" -64276.0667997263 "CITYND-Des-Sept-Douleurs"
"CITYND-Du-Bon-Conseil" -84832.4940441863 "CITYND-Du-Bon-Conseil"
"CITYND-Du-Lac" -95166.5702544383 "CITYND-Du-Lac"
"CITYND-Du-Laus" -1275.78125142118 "CITYND-Du-Laus"
"CITYND-Du-Mont-Carmel" -86840.2998117101 "CITYND-Du-Mont-Carmel"
"CITYND-Du-Portage" 7027.45514036053 "CITYND-Du-Portage"
"CITYNeufchatel" 41492.123672152 "CITYNeufchatel"
"CITYNeuville" 12204.4536971047 "CITYNeuville"
"CITYNew Carlisle" -139301.954710922 "CITYNew Carlisle"
"CITYNew Richmond" -58360.5688465633 "CITYNew Richmond"
"CITYNewport" -101665.310288223 "CITYNewport"
"CITYNicolet" -79657.9032299548 "CITYNicolet"
"CITYNicolet-Sud" -180294.11907343 "CITYNicolet-Sud"
"CITYNominingue" 4967.17132574214 "CITYNominingue"
"CITYNormandin" -178483.388019125 "CITYNormandin"
"CITYNorth-Hatley" 25314.8728973886 "CITYNorth-Hatley"
"CITYNotre-Dame-de-Pontmain" -27000.7992873776 "CITYNotre-Dame-de-Pontmain"
"CITYNotre-Dame-Des-Bois" -85826.1210713576 "CITYNotre-Dame-Des-Bois"
"CITYNotre-Dame-Des-Monts" -133188.945538605 "CITYNotre-Dame-Des-Monts"
"CITYNotre-Dame-des-Pins" -84999.4121652925 "CITYNotre-Dame-des-Pins"
"CITYNouvelle" -111495.816245692 "CITYNouvelle"
"CITYNoyan" 23678.4251180898 "CITYNoyan"
"CITYOgden" -118868.719786185 "CITYOgden"
"CITYOka" 25254.4673596695 "CITYOka"
"CITYOmerville" -7688.18038140389 "CITYOmerville"
"CITYOrford" 32826.0236915961 "CITYOrford"
"CITYOrmstown" -28938.6034597489 "CITYOrmstown"
"CITYOtterburn Park" 51604.7099288685 "CITYOtterburn Park"
"CITYOutremont" 698513.43005056 "CITYOutremont"
"CITYPabos" -86021.7036567303 "CITYPabos"
"CITYPabos Mills" -162838.530768484 "CITYPabos Mills"
"CITYPackington" -169144.099821769 "CITYPackington"
"CITYPalmarolle" -198355.477607453 "CITYPalmarolle"
"CITYPapineauville" -47776.8085634625 "CITYPapineauville"
"CITYParisville" -166360.465091554 "CITYParisville"
"CITYPaspebiac" -98633.306088579 "CITYPaspebiac"
"CITYPercé" -75594.4066940906 "CITYPercé"
"CITYPéribonka" -123740.244723581 "CITYPéribonka"
"CITYPetit-Saguenay" -155485.208275256 "CITYPetit-Saguenay"
"CITYPetite-Rivière-St-François" -12317.5246027884 "CITYPetite-Rivière-St-François"
"CITYPetite-Vallee" 54519.4901046062 "CITYPetite-Vallee"
"CITYPiedmont" 24045.8659242987 "CITYPiedmont"
"CITYPierrefonds / Roxboro" 135909.465756398 "CITYPierrefonds / Roxboro"
"CITYPierreville" -124072.666669757 "CITYPierreville"
"CITYPike River" -39178.5017958661 "CITYPike River"
"CITYPincourt" 78707.5769393009 "CITYPincourt"
"CITYPintendre" -11971.0934861164 "CITYPintendre"
"CITYPiopolis" 12529.4110441386 "CITYPiopolis"
"CITYPlaisance" -49299.5652291973 "CITYPlaisance"
"CITYPlessisville" -91159.8616586141 "CITYPlessisville"
"CITYPohénégamook" -97449.1817123651 "CITYPohénégamook"
"CITYPointe-Aux-Outardes" -83724.2515876245 "CITYPointe-Aux-Outardes"
"CITYPointe-Aux-Trembles / Montréal-Est" 89728.8489395185 "CITYPointe-Aux-Trembles / Montréal-Est"
"CITYPointe-Calumet" -12431.9744229406 "CITYPointe-Calumet"
"CITYPointe-Claire" 176415.21312909 "CITYPointe-Claire"
"CITYPointe-des-Cascades" 2717.70195500135 "CITYPointe-des-Cascades"
"CITYPointe-Lebel" -128694.838283337 "CITYPointe-Lebel"
"CITYPont-Rouge" -40970.0507300856 "CITYPont-Rouge"
"CITYPont-Viau" 107770.791395446 "CITYPont-Viau"
"CITYPontbriand" -152825.866980873 "CITYPontbriand"
"CITYPontiac" 22968.328245043 "CITYPontiac"
"CITYPort-Au-Persil" -68717.190796986 "CITYPort-Au-Persil"
"CITYPort-Cartier" -72305.2389168447 "CITYPort-Cartier"
"CITYPort-Daniel" -75031.2058621404 "CITYPort-Daniel"
"CITYPortage-Du-Fort" -129862.813454583 "CITYPortage-Du-Fort"
"CITYPortneuf" -79451.4461826208 "CITYPortneuf"
"CITYPortneuf (ND-De-Portneuf)" -67586.411993168 "CITYPortneuf (ND-De-Portneuf)"
"CITYPortneuf-sur-mer" -205117.232888372 "CITYPortneuf-sur-mer"
"CITYPotton (Mansonville)" 12156.8323474173 "CITYPotton (Mansonville)"
"CITYPotton (Owls Head)" 120515.085451565 "CITYPotton (Owls Head)"
"CITYPoularies" -194041.569361498 "CITYPoularies"
"CITYPreissac" -54918.2105270786 "CITYPreissac"
"CITYPrévost" 9157.14602111841 "CITYPrévost"
"CITYPrice" -114069.228106656 "CITYPrice"
"CITYPrinceville" -100269.150826194 "CITYPrinceville"
"CITYProulxville" -141918.884377525 "CITYProulxville"
"CITYQuébec" 61202.2622492861 "CITYQuébec"
"CITYQuyon" -13523.9835792246 "CITYQuyon"
"CITYRacine" 49913.0285538406 "CITYRacine"
"CITYRagueneau" -147283.594776729 "CITYRagueneau"
"CITYRapide-Danseur" -146284.133367561 "CITYRapide-Danseur"
"CITYRawdon" -30242.4724283408 "CITYRawdon"
"CITYRepentigny" 29408.9413008873 "CITYRepentigny"
"CITYRepentigny (Le Gardeur)" 27939.5724017165 "CITYRepentigny (Le Gardeur)"
"CITYRepentigny (Repentigny)" 45017.6675816567 "CITYRepentigny (Repentigny)"
"CITYRichelieu" 48217.3009595647 "CITYRichelieu"
"CITYRichmond" -59106.5508005911 "CITYRichmond"
"CITYRigaud" 38280.4133483544 "CITYRigaud"
"CITYRimouski" -16925.4132729383 "CITYRimouski"
"CITYRimouski (Le Bic)" -50440.9409578219 "CITYRimouski (Le Bic)"
"CITYRimouski (Pointe-Au-Père)" -57955.4338250783 "CITYRimouski (Pointe-Au-Père)"
"CITYRimouski (Rimouski-Est)" -76908.2535963714 "CITYRimouski (Rimouski-Est)"
"CITYRimouski (Rimouski)" -40059.09019695 "CITYRimouski (Rimouski)"
"CITYRimouski (Ste-Blandine/Mont-Lebel)" -84806.9951153364 "CITYRimouski (Ste-Blandine/Mont-Lebel)"
"CITYRimouski (Ste-Odile-Sur-Rimouski)" -69594.8336864146 "CITYRimouski (Ste-Odile-Sur-Rimouski)"
"CITYRipon" -95149.4218924125 "CITYRipon"
"CITYRivière des Prairies" 120914.489115969 "CITYRivière des Prairies"
"CITYRivière-A-Claude" -228375.364609107 "CITYRivière-A-Claude"
"CITYRivière-à-Pierre" -86768.395372418 "CITYRivière-à-Pierre"
"CITYRivière-Au-Renard" -53691.0884723528 "CITYRivière-Au-Renard"
"CITYRivière-Beaudette" -30829.2445461303 "CITYRivière-Beaudette"
"CITYRivière-Bleue" -117689.807381324 "CITYRivière-Bleue"
"CITYRivière-Du-Loup" -56593.1409972265 "CITYRivière-Du-Loup"
"CITYRivière-Éternité" -117910.666036144 "CITYRivière-Éternité"
"CITYRivière-Heva" -8833.47585367891 "CITYRivière-Heva"
"CITYRiviere-Ouelle" 35272.0199620527 "CITYRiviere-Ouelle"
"CITYRivière-Rouge" -79056.8205799963 "CITYRivière-Rouge"
"CITYRivière-Rouge (Ste-Véronique)" -62926.6790808005 "CITYRivière-Rouge (Ste-Véronique)"
"CITYRoberval" -88785.4154873472 "CITYRoberval"
"CITYRosemère" 119120.15203103 "CITYRosemère"
"CITYRosemont / La Petite Patrie" 334609.463002304 "CITYRosemont / La Petite Patrie"
"CITYRougemont" 2903.55579785956 "CITYRougemont"
"CITYRouyn-Noranda" -4292.26766966349 "CITYRouyn-Noranda"
"CITYRouyn-Noranda (Cadillac)" -5750.2965604574 "CITYRouyn-Noranda (Cadillac)"
"CITYRouyn-Noranda (Clericy)" -70292.9150094151 "CITYRouyn-Noranda (Clericy)"
"CITYRouyn-Noranda (D'Alembert)" -103703.462388016 "CITYRouyn-Noranda (D'Alembert)"
"CITYRouyn-Noranda (Evain)" -48078.4627418424 "CITYRouyn-Noranda (Evain)"
"CITYRouyn-Noranda (Granada)" -27123.7236402056 "CITYRouyn-Noranda (Granada)"
"CITYRouyn-Noranda (Lac-Dufault)" -40140.6500733804 "CITYRouyn-Noranda (Lac-Dufault)"
"CITYRouyn-Noranda (Mcwatters)" -54220.6673437787 "CITYRouyn-Noranda (Mcwatters)"
"CITYRoxton Falls" -58296.6715820392 "CITYRoxton Falls"
"CITYRoxton Pond" -19866.3854322239 "CITYRoxton Pond"
"CITYSabrevois" -19661.9298660418 "CITYSabrevois"
"CITYSacré-Coeur-du-Saguenay" -176822.700977734 "CITYSacré-Coeur-du-Saguenay"
"CITYSagard" -310287.872299131 "CITYSagard"
"CITYSaint-Gédéon" -42536.1003100646 "CITYSaint-Gédéon"
"CITYSaint-Laurent" 283059.935564989 "CITYSaint-Laurent"
"CITYSaint-Léonard" 208073.416270353 "CITYSaint-Léonard"
"CITYSaint-Roch" 155856.22018651 "CITYSaint-Roch"
"CITYSaint-Sacrement" 231991.724566993 "CITYSaint-Sacrement"
"CITYSaint-Sauveur" 79671.4776913015 "CITYSaint-Sauveur"
"CITYSaints-Martyrs-Canadiens" 13787.0645548003 "CITYSaints-Martyrs-Canadiens"
"CITYSalaberry-De-Valleyfield" -11787.9384128885 "CITYSalaberry-De-Valleyfield"
"CITYSawyerville" -40926.569396357 "CITYSawyerville"
"CITYScotstown" -140435.840630208 "CITYScotstown"
"CITYScott" -46325.5505123892 "CITYScott"
"CITYSenneterre" -101729.19465467 "CITYSenneterre"
"CITYSenneville" 176333.32859592 "CITYSenneville"
"CITYSept-Iles" -24333.2716390361 "CITYSept-Iles"
"CITYShannon" 19596.2481752315 "CITYShannon"
"CITYShawinigan" -69586.740917503 "CITYShawinigan"
"CITYShawinigan (Grand-Mère)" -84608.1831014491 "CITYShawinigan (Grand-Mère)"
"CITYShawinigan (Lac-A-La-Tortue)" -98720.3818803344 "CITYShawinigan (Lac-A-La-Tortue)"
"CITYShawinigan (Shawinigan-Sud)" -111311.555181378 "CITYShawinigan (Shawinigan-Sud)"
"CITYShawinigan (Shawinigan)" -116723.834320788 "CITYShawinigan (Shawinigan)"
"CITYShawinigan (St-Georges-De-Champlain)" -123829.402516333 "CITYShawinigan (St-Georges-De-Champlain)"
"CITYShawinigan (St-Gerard-Des-Laurentides)" -123287.007992642 "CITYShawinigan (St-Gerard-Des-Laurentides)"
"CITYShawinigan (St-Jean-Des-Piles)" 47471.8504708849 "CITYShawinigan (St-Jean-Des-Piles)"
"CITYShawville" -44574.1773928589 "CITYShawville"
"CITYShefford" 34930.2213958886 "CITYShefford"
"CITYSherbrooke" -7632.31012544675 "CITYSherbrooke"
"CITYSherbrooke (Brompton)" -34707.8343353404 "CITYSherbrooke (Brompton)"
"CITYSherbrooke (Deauville)" -12651.2929440172 "CITYSherbrooke (Deauville)"
"CITYSherbrooke (Fleurimont)" -45380.3253846288 "CITYSherbrooke (Fleurimont)"
"CITYSherbrooke (Jacques-Cartier)" -13199.850983343 "CITYSherbrooke (Jacques-Cartier)"
"CITYSherbrooke (Lennoxville)" -19622.7664528945 "CITYSherbrooke (Lennoxville)"
"CITYSherbrooke (Mont-Bellevue)" -45759.012089083 "CITYSherbrooke (Mont-Bellevue)"
"CITYSherbrooke (Rock Forest)" -23346.9193589693 "CITYSherbrooke (Rock Forest)"
"CITYSherbrooke (St-Élie-d'Orford)" -31587.9438805856 "CITYSherbrooke (St-Élie-d'Orford)"
"CITYSherrington" -957.897968147199 "CITYSherrington"
"CITYSillery" 215492.386118351 "CITYSillery"
"CITYSorel-Tracy" -41284.3906685344 "CITYSorel-Tracy"
"CITYSquatec" -128821.613391884 "CITYSquatec"
"CITYSt-Adelme" -118229.238990301 "CITYSt-Adelme"
"CITYSt-Adelphe" -108103.01087919 "CITYSt-Adelphe"
"CITYSt-Adelphe-De-Champlain" -194845.775488152 "CITYSt-Adelphe-De-Champlain"
"CITYSt-Adolphe-D'Howard" 13056.4917331687 "CITYSt-Adolphe-D'Howard"
"CITYSt-Adrien" -55919.9369335815 "CITYSt-Adrien"
"CITYSt-Agapit" -86418.8898757659 "CITYSt-Agapit"
"CITYSt-Aime" 1816.74249923795 "CITYSt-Aime"
"CITYSt-Aime-Des-Lacs" -160550.606410776 "CITYSt-Aime-Des-Lacs"
"CITYSt-Aime-Du-Lac-Des-Iles" -91108.3750048945 "CITYSt-Aime-Du-Lac-Des-Iles"
"CITYSt-Alban" -84853.1179566817 "CITYSt-Alban"
"CITYSt-Albert" -48808.4864752416 "CITYSt-Albert"
"CITYSt-Albert-De-Warwick" -145951.119293254 "CITYSt-Albert-De-Warwick"
"CITYSt-Alexandre-D'Iberville" -29048.7102531947 "CITYSt-Alexandre-D'Iberville"
"CITYSt-Alexandre-De-Kamouraska" -80737.9919878362 "CITYSt-Alexandre-De-Kamouraska"
"CITYSt-Alexis" -32120.6944781596 "CITYSt-Alexis"
"CITYSt-Alexis-De-Matapedia" -71256.4922095415 "CITYSt-Alexis-De-Matapedia"
"CITYSt-Alexis-Des-Monts" -65466.1090642252 "CITYSt-Alexis-Des-Monts"
"CITYSt-Alfred" 44004.6858278965 "CITYSt-Alfred"
"CITYSt-Alphonse-De-Caplan" -115460.554335233 "CITYSt-Alphonse-De-Caplan"
"CITYSt-Alphonse-de-Granby" -2666.41563630147 "CITYSt-Alphonse-de-Granby"
"CITYSt-Alphonse-Rodriguez" -15344.7858343575 "CITYSt-Alphonse-Rodriguez"
"CITYSt-Amable" 16115.2696653336 "CITYSt-Amable"
"CITYSt-Ambroise" -106836.003370319 "CITYSt-Ambroise"
"CITYSt-Ambroise-De-Kildare" -53350.3164072831 "CITYSt-Ambroise-De-Kildare"
"CITYSt-Anaclet-De-Lessard" -60354.9253043035 "CITYSt-Anaclet-De-Lessard"
"CITYSt-André-Avellin" -67101.081103659 "CITYSt-André-Avellin"
"CITYSt-André-D'Argenteuil" -12485.5242668022 "CITYSt-André-D'Argenteuil"
"CITYSt-André-De-Kamouraska" -84882.6770454375 "CITYSt-André-De-Kamouraska"
"CITYSt-André-Du-Lac-St-Jean" -126732.875050348 "CITYSt-André-Du-Lac-St-Jean"
"CITYSt-Anicet" 20305.318623271 "CITYSt-Anicet"
"CITYSt-Anselme" -82591.5372835134 "CITYSt-Anselme"
"CITYSt-Antoine-Abbe" -72343.4234764481 "CITYSt-Antoine-Abbe"
"CITYSt-Antoine-De-L'Isle-Aux-Grues" -90313.311852496 "CITYSt-Antoine-De-L'Isle-Aux-Grues"
"CITYSt-Antoine-De-Tilly" 12995.6792917287 "CITYSt-Antoine-De-Tilly"
"CITYSt-Antoine-sur-Richelieu" 10706.10406775 "CITYSt-Antoine-sur-Richelieu"
"CITYSt-Antonin" -73493.5228583965 "CITYSt-Antonin"
"CITYSt-Apollinaire" -61137.0176036518 "CITYSt-Apollinaire"
"CITYSt-Armand" 40900.6655379747 "CITYSt-Armand"
"CITYSt-Arsene" -122585.360204187 "CITYSt-Arsene"
"CITYSt-Aubert" 32486.8316957101 "CITYSt-Aubert"
"CITYSt-Augustin-De-Desmaures" 51387.8531324339 "CITYSt-Augustin-De-Desmaures"
"CITYSt-Augustin-De-Woburn" -106522.817741258 "CITYSt-Augustin-De-Woburn"
"CITYSt-Barnabe-Nord" -115536.433726124 "CITYSt-Barnabe-Nord"
"CITYSt-Barnabe-Sud" -12877.4143116837 "CITYSt-Barnabe-Sud"
"CITYSt-Barthelemy" -98064.4003517748 "CITYSt-Barthelemy"
"CITYSt-Basile-De-Portneuf" -71667.3727494842 "CITYSt-Basile-De-Portneuf"
"CITYSt-Basile-Le-Grand" 80578.5057514189 "CITYSt-Basile-Le-Grand"
"CITYSt-Basile-Sud" -70218.2985053691 "CITYSt-Basile-Sud"
"CITYSt-Benjamin" -137642.284824699 "CITYSt-Benjamin"
"CITYSt-Benoit-Labre" -58903.6686385739 "CITYSt-Benoit-Labre"
"CITYSt-Bernard" -110783.174808647 "CITYSt-Bernard"
"CITYSt-Bernard-de Michaudville" 28186.315375994 "CITYSt-Bernard-de Michaudville"
"CITYSt-Bernard-De-Lacolle" 24269.1499075908 "CITYSt-Bernard-De-Lacolle"
"CITYSt-Blaise" -140972.505178535 "CITYSt-Blaise"
"CITYSt-Blaise-sur-Richelieu" -21287.2034062596 "CITYSt-Blaise-sur-Richelieu"
"CITYSt-Bonaventure" -100655.241892549 "CITYSt-Bonaventure"
"CITYSt-Boniface" -75046.2107342883 "CITYSt-Boniface"
"CITYSt-Bruno" -114446.521515191 "CITYSt-Bruno"
"CITYSt-Bruno-De-Kamouraska" -163540.639227136 "CITYSt-Bruno-De-Kamouraska"
"CITYSt-Bruno-De-Montarville" 142925.057197733 "CITYSt-Bruno-De-Montarville"
"CITYSt-Calixte" -48208.158443069 "CITYSt-Calixte"
"CITYSt-Camille" -150842.372891994 "CITYSt-Camille"
"CITYSt-Camille-De-Lellis" -82960.2935830163 "CITYSt-Camille-De-Lellis"
"CITYSt-Casimir" -74538.1239787404 "CITYSt-Casimir"
"CITYSt-Celestin" -107487.751277041 "CITYSt-Celestin"
"CITYSt-Cesaire" -21458.5807239838 "CITYSt-Cesaire"
"CITYSt-Charles-Borromée" -29863.4513436644 "CITYSt-Charles-Borromée"
"CITYSt-Charles-De-Bellechasse" -66211.319162568 "CITYSt-Charles-De-Bellechasse"
"CITYSt-Charles-De-Bourget" -92364.1558227833 "CITYSt-Charles-De-Bourget"
"CITYSt-Charles-Garnier" -179161.563533772 "CITYSt-Charles-Garnier"
"CITYSt-Charles-sur-Richelieu" 68304.7612818038 "CITYSt-Charles-sur-Richelieu"
"CITYSt-Christophe-D'Arthabaska" -39248.1969609774 "CITYSt-Christophe-D'Arthabaska"
"CITYSt-Chrysostome" -59205.1798176272 "CITYSt-Chrysostome"
"CITYSt-Claude" -22836.2817343197 "CITYSt-Claude"
"CITYSt-Clement" -130686.972227427 "CITYSt-Clement"
"CITYSt-Clet" -19798.7520946417 "CITYSt-Clet"
"CITYSt-Colomban" 1249.18442950155 "CITYSt-Colomban"
"CITYSt-Côme" -58449.7299841097 "CITYSt-Côme"
"CITYSt-Côme-Linière" -96742.8982694365 "CITYSt-Côme-Linière"
"CITYSt-Constant" 62514.2719912999 "CITYSt-Constant"
"CITYSt-Cuthbert" -82182.8062381305 "CITYSt-Cuthbert"
"CITYSt-Cyprien" -214593.530084689 "CITYSt-Cyprien"
